t,mu_GeV,g1,g2,g3,alpha1,alpha2,alpha3,alpha1_inv,alpha2_inv,alpha3_inv
2.229300655825e-01,1.139756652242e+02,4.614616385633e-01,6.508038178636e-01,1.202754195645e+00,1.694577140851e-02,3.370468867613e-02,1.151181752899e-01,5.901177207536e+01,2.966946259641e+01,8.686725597253e+00
2.253271630618e-01,1.142492037223e+02,4.614678486999e-01,6.507909842967e-01,1.202562521387e+00,1.694622750823e-02,3.370335940577e-02,1.150814871076e-01,5.901018380134e+01,2.967063276869e+01,8.689494940791e+00
2.277242605412e-01,1.145233987053e+02,4.614740590486e-01,6.507781513400e-01,1.202370940728e+00,1.694668362968e-02,3.370203022483e-02,1.150448226838e-01,5.900859553718e+01,2.967180295457e+01,8.692264255544e+00
2.301213580206e-01,1.147982517488e+02,4.614802696096e-01,6.507653189936e-01,1.202179453591e+00,1.694713977285e-02,3.370070113330e-02,1.150081819953e-01,5.900700728286e+01,2.967297315402e+01,8.695033541532e+00
2.325184555000e-01,1.150737644322e+02,4.614864803829e-01,6.507524872574e-01,1.201988059899e+00,1.694759593775e-02,3.369937213119e-02,1.149715650188e-01,5.900541903838e+01,2.967414336703e+01,8.697802798773e+00
2.349155529794e-01,1.153499383385e+02,4.614926913685e-01,6.507396561317e-01,1.201796759574e+00,1.694805212438e-02,3.369804321850e-02,1.149349717310e-01,5.900383080373e+01,2.967531359361e+01,8.700572027286e+00
2.373126504587e-01,1.156267750547e+02,4.614989025664e-01,6.507268256163e-01,1.201605552541e+00,1.694850833276e-02,3.369671439523e-02,1.148984021088e-01,5.900224257891e+01,2.967648383374e+01,8.703341227091e+00
2.397097479381e-01,1.159042761714e+02,4.615051139767e-01,6.507139957114e-01,1.201414438721e+00,1.694896456287e-02,3.369538566138e-02,1.148618561288e-01,5.900065436391e+01,2.967765408740e+01,8.706110398204e+00
2.421068454175e-01,1.161824432834e+02,4.615113255994e-01,6.507011664169e-01,1.201223418039e+00,1.694942081472e-02,3.369405701695e-02,1.148253337680e-01,5.899906615873e+01,2.967882435460e+01,8.708879540646e+00
2.445039428969e-01,1.164612779888e+02,4.615175374346e-01,6.506883377330e-01,1.201032490419e+00,1.694987708833e-02,3.369272846194e-02,1.147888350032e-01,5.899747796335e+01,2.967999463533e+01,8.711648654434e+00
2.469010403763e-01,1.167407818899e+02,4.615237494823e-01,6.506755096597e-01,1.200841655782e+00,1.695033338368e-02,3.369139999636e-02,1.147523598114e-01,5.899588977778e+01,2.968116492957e+01,8.714417739588e+00
2.492981378556e-01,1.170209565928e+02,4.615299617426e-01,6.506626821970e-01,1.200650914054e+00,1.695078970078e-02,3.369007162020e-02,1.147159081694e-01,5.899430160200e+01,2.968233523731e+01,8.717186796125e+00
2.516952353350e-01,1.173018037073e+02,4.615361742154e-01,6.506498553450e-01,1.200460265158e+00,1.695124603964e-02,3.368874333347e-02,1.146794800543e-01,5.899271343601e+01,2.968350555856e+01,8.719955824065e+00
2.540923328144e-01,1.175833248473e+02,4.615423869008e-01,6.506370291037e-01,1.200269709018e+00,1.695170240027e-02,3.368741513617e-02,1.146430754429e-01,5.899112527980e+01,2.968467589329e+01,8.722724823426e+00
2.564894302938e-01,1.178655216304e+02,4.615485997988e-01,6.506242034732e-01,1.200079245557e+00,1.695215878265e-02,3.368608702829e-02,1.146066943124e-01,5.898953713337e+01,2.968584624151e+01,8.725493794226e+00
2.588865277732e-01,1.181483956781e+02,4.615548129096e-01,6.506113784535e-01,1.199888874700e+00,1.695261518680e-02,3.368475900985e-02,1.145703366398e-01,5.898794899671e+01,2.968701660320e+01,8.728262736485e+00
2.612836252526e-01,1.184319486158e+02,4.615610262330e-01,6.505985540446e-01,1.199698596370e+00,1.695307161272e-02,3.368343108083e-02,1.145340024022e-01,5.898636086982e+01,2.968818697835e+01,8.731031650220e+00
2.636807227319e-01,1.187161820729e+02,4.615672397692e-01,6.505857302466e-01,1.199508410492e+00,1.695352806042e-02,3.368210324124e-02,1.144976915767e-01,5.898477275268e+01,2.968935736696e+01,8.733800535450e+00
2.660778202113e-01,1.190010976825e+02,4.615734535182e-01,6.505729070596e-01,1.199318316990e+00,1.695398452989e-02,3.368077549109e-02,1.144614041403e-01,5.898318464529e+01,2.969052776901e+01,8.736569392193e+00
2.684749176907e-01,1.192866970818e+02,4.615796674800e-01,6.505600844836e-01,1.199128315788e+00,1.695444102114e-02,3.367944783036e-02,1.144251400704e-01,5.898159654765e+01,2.969169818451e+01,8.739338220468e+00
2.708720151701e-01,1.195729819120e+02,4.615858816547e-01,6.505472625186e-01,1.198938406811e+00,1.695489753418e-02,3.367812025907e-02,1.143888993441e-01,5.898000845975e+01,2.969286861343e+01,8.742107020294e+00
2.732691126495e-01,1.198599538179e+02,4.615920960423e-01,6.505344411647e-01,1.198748589983e+00,1.695535406900e-02,3.367679277722e-02,1.143526819387e-01,5.897842038158e+01,2.969403905578e+01,8.744875791688e+00
2.756662101288e-01,1.201476144486e+02,4.615983106428e-01,6.505216204220e-01,1.198558865229e+00,1.695581062561e-02,3.367546538480e-02,1.143164878313e-01,5.897683231314e+01,2.969520951153e+01,8.747644534670e+00
2.780633076082e-01,1.204359654570e+02,4.616045254563e-01,6.505088002904e-01,1.198369232474e+00,1.695626720402e-02,3.367413808182e-02,1.142803169993e-01,5.897524425441e+01,2.969637998070e+01,8.750413249257e+00
2.804604050876e-01,1.207250085000e+02,4.616107404829e-01,6.504959807700e-01,1.198179691641e+00,1.695672380422e-02,3.367281086827e-02,1.142441694200e-01,5.897365620541e+01,2.969755046325e+01,8.753181935468e+00
2.828575025670e-01,1.210147452385e+02,4.616169557224e-01,6.504831618608e-01,1.197990242657e+00,1.695718042622e-02,3.367148374416e-02,1.142080450708e-01,5.897206816610e+01,2.969872095920e+01,8.755950593321e+00
2.852546000464e-01,1.213051773372e+02,4.616231711751e-01,6.504703435630e-01,1.197800885446e+00,1.695763707003e-02,3.367015670949e-02,1.141719439291e-01,5.897048013651e+01,2.969989146852e+01,8.758719222834e+00
2.876516975257e-01,1.215963064651e+02,4.616293868408e-01,6.504575258765e-01,1.197611619932e+00,1.695809373564e-02,3.366882976426e-02,1.141358659722e-01,5.896889211660e+01,2.970106199122e+01,8.761487824026e+00
2.900487950051e-01,1.218881342950e+02,4.616356027198e-01,6.504447088014e-01,1.197422446042e+00,1.695855042306e-02,3.366750290847e-02,1.140998111776e-01,5.896730410639e+01,2.970223252728e+01,8.764256396916e+00
2.924458924845e-01,1.221806625037e+02,4.616418188119e-01,6.504318923378e-01,1.197233363700e+00,1.695900713229e-02,3.366617614211e-02,1.140637795227e-01,5.896571610586e+01,2.970340307669e+01,8.767024941520e+00
2.948429899639e-01,1.224738927722e+02,4.616480351173e-01,6.504190764856e-01,1.197044372832e+00,1.695946386334e-02,3.366484946521e-02,1.140277709852e-01,5.896412811500e+01,2.970457363944e+01,8.769793457858e+00
2.972400874433e-01,1.227678267853e+02,4.616542516359e-01,6.504062612450e-01,1.196855473363e+00,1.695992061622e-02,3.366352287774e-02,1.139917855424e-01,5.896254013382e+01,2.970574421554e+01,8.772561945948e+00
