mu_GeV,alpha1_inv,alpha2_inv,alpha3_inv,alpha1,alpha2,alpha3
27552818895.141735,46.251582957682686,35.53803266741189,30.329302751108184,0.021620881622904403,0.02813886771275869,0.03297141408776572
30211121336.46378,46.19095393228701,35.5641996015031,30.40363446769853,0.021649260620725353,0.02811816408649713,0.03289080458661682
33125897421.96823,46.130325665346376,35.590367795911654,30.477963630763288,0.02167771385908969,0.02809748990890935,0.032810591026187795
36321891789.11172,46.06969815237746,35.6165372448084,30.552290252925495,0.021706241631808787,0.02807684512187562,0.03273077048304902
39826236443.78716,46.00907138892557,35.64270794240494,30.626614346713282,0.021734844234232924,0.02805622966739509,0.03265134006257912
43668681094.19101,45.94844537056433,35.668879882953284,30.70093592456078,0.021763521963261544,0.028035643487585818,0.032572296898610145
47881845707.357506,45.887820092895396,35.69505306074545,30.775254998809075,0.021792275117353536,0.028015086524684832,0.03249363815307777
52501497432.405396,45.827195551548165,35.72122747011307,30.849571581706854,0.02182110399653765,0.02799455872104819,0.03241536101567708
54000000000.0,45.80867212200957,35.72922516300212,30.87227824296895,0.021829927690035195,0.027988292369561584,0.03239151941200667
57566854241.4043,45.766571742178925,35.74740310542715,30.923885685387482,0.02185000890242321,0.027974060019150888,0.032337462703548016
63120917865.58509,45.70594866047082,35.773579961097646,30.998197321880106,0.02187899013821058,0.027953590361586973,0.032259940460929615
69210838853.3124,45.64532630213482,35.79975803157263,31.07250650316801,0.021908048008701175,0.027933149691069897,0.0321827915587706
75888316848.93552,45.58470466290905,35.82593731133807,31.14681324117048,0.021937182820308387,0.027912737950432448,0.03210601329442526
83210039490.6398,45.52408373855779,35.85211779491773,31.2211175477129,0.02196639488106873,0.02789235508262657,0.03202960299136553
91238163653.26309,45.46346352487127,35.87829947687276,31.29541943452794,0.02199568450065269,0.027872001030723386,0.031953557998865144
100040843121.53209,45.40284401766536,35.904482351801335,31.369718913256733,0.022025051990375747,0.027851675737913258,0.03187787569168825
109692807173.34007,45.3422252127813,35.930666414338305,31.444015995450183,0.02205449766320941,0.027831379147505744,0.03180255346978248
120275994984.8696,45.281607106085495,35.95685165915486,31.518310692570225,0.022084021833792374,0.027811111202929617,0.031727588757976447
131880251243.27655,45.22098969346925,35.98303808095812,31.59260301599111,0.022113624818441747,0.027790871847732906,0.031652979005681606
144604088872.24533,45.16037297084851,36.00922567449082,31.666892977000735,0.02214330693516438,0.02777066102558286,0.03157872168659828
158555525345.48404,45.09975693416361,36.03541443453099,31.74118058680195,0.02217306850366832,0.027750478680265946,0.031504814298426005
173852999687.94772,45.03914157937909,36.06160435589154,31.815465856513867,0.022202909845374232,0.02773032475568785,0.03143125436257791
190626377949.54987,44.97852690248338,36.08779543342003,31.88974879717315,0.022232831283427103,0.027710199195873416,0.03135803942389927
209018055687.21304,44.9179128994886,36.113987661998245,31.964029419735333,0.022262833142707866,0.027690101944966673,0.031285167050389986
229184166814.65384,44.85729956643035,36.14018103654189,32.03830773507606,0.022292915749845214,0.027670032947230805,0.03121263483293107
251295909082.27267,44.79668689936744,36.16637555200032,32.11258375399231,0.022323079433227477,0.027649992147048066,0.03114044038501504
275540997439.65326,44.73607489438168,36.192571203356145,32.18685748720367,0.022353324523014605,0.02762997948891981,0.031068581342480046
302125257618.82837,44.67546354757769,36.21876798562495,32.26112894535339,0.022383651351150224,0.02760999491746641,0.030997055363247948
331274373466.8173,44.61485285508257,36.244965893855,32.33539813900966,0.022414060251373866,0.027590038377427215,0.030925860127065906
363235802861.23425,44.55424281304579,36.27116492312692,32.4096650786666,0.022444551559233167,0.027570109813660502,0.03085499333525177
398280878473.8732,44.49363341763889,36.29736506855335,32.483929774745306,0.02247512561209631,0.027550209171143442,0.030784452710443055
